d13C,d18O,foram_species,depth_mcd,age_ka
-0.08,4.49,CWUE,27.452200,806.94400
0.56,3.90,CSPP,27.496100,808.24400
0.29,4.37,CWUE,27.496100,808.24400
0.16,4.17,CSPP,27.551000,809.86900
0.15,4.39,CWUE,27.562000,810.19400
0.10,4.40,CWUE,27.562000,810.19400
0.32,4.24,CKULL,27.605900,811.49400
0.32,4.10,CWUE,27.605900,811.49400
-0.26,3.80,NUMB,27.660800,813.11900
0.42,4.04,CWUE,27.671800,813.44400
-0.48,3.87,NUMB,27.715700,814.74400
0.48,3.49,CSPP,27.935300,821.24500
0.76,3.85,CKULL,27.990200,822.87000
0.73,3.23,CSPP,28.001200,823.19500
0.01,3.80,CWUE,28.100000,826.12000
0.77,3.75,CWUE,28.191200,828.81900
0.81,3.88,CSPP,28.200300,829.08900
0.70,3.67,CWUE,28.282400,831.51800
0.78,3.68,CKULL,28.282400,831.51800
0.81,3.94,CKULL,28.291500,831.78800
0.88,3.78,CKULL,28.327900,832.86700
0.34,3.62,CKULL,28.373500,834.21600
0.01,3.79,CKULL,28.373500,834.21600
0.75,3.62,CSPP,28.470000,838.09300
0.65,3.78,CSPP,28.480000,838.53500
0.23,3.66,CWUE,28.580000,842.95300
0.81,3.57,CWUE,28.620000,844.72100
0.75,3.42,CWUE,28.620000,844.72100
0.69,3.43,CWUE,28.670000,846.93000
0.81,3.35,CWUE,28.680000,847.37200
0.74,3.20,CWUE,28.770000,851.34900
0.46,3.21,CSPP,28.780000,851.79100
0.80,3.67,CBRA,28.873800,855.61500
0.66,3.60,CBRA,28.908900,856.90800
0.94,3.21,CWUE,28.961500,858.84600
0.03,3.31,CWUE,29.040500,861.75400
0.83,3.17,CWUE,29.049200,862.07700
-0.01,3.19,CWUE,29.084300,863.36900
-0.14,3.42,CWUE,29.128200,864.98500
-0.46,4.42,CWUE,29.136900,865.30800
-0.34,4.39,CWUE,29.172000,866.60000
-0.33,4.46,CWUE,29.215800,868.21500
-0.30,4.54,CWUE,29.224600,868.53800
-0.85,4.43,NUMB,29.277200,870.47700
-0.37,4.64,CWUE,29.312300,871.76900
-0.04,4.56,CWUE,29.347400,873.06200
-0.47,4.30,NUMB,29.391200,874.67700
-0.21,4.63,CWUE,29.400000,875.00000
-0.12,4.52,CWUE,29.452500,876.98100
-0.85,4.10,NUMB,29.518100,879.45800
-0.06,4.44,CWUE,29.531200,879.95300
-0.44,4.35,CWUE,29.662500,884.90600
-0.24,4.32,CWUE,29.662500,884.90600
0.76,4.24,CWUE,30.043100,899.27700
0.81,4.19,CWUE,30.056200,899.77300
0.95,4.14,CWUE,30.108700,901.75800
0.70,3.81,CSPP,30.174400,904.23900
0.92,3.99,CWUE,30.187500,904.73500
0.07,3.73,CWUE,30.240000,906.71900
0.85,3.95,CWUE,30.305600,909.20000
0.67,3.72,CWUE,30.371200,911.68100
0.66,3.66,CWUE,30.371200,911.68100
0.67,3.74,CWUE,30.436900,914.16200
0.26,3.85,CWUE,30.450000,914.65900
