Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Age (HMM)
S18 0637,ODP1209,B,6,H,6,65,67,51.25,57.17,3533.1
S17 3816,ODP1209,A,6,H,5,35,37,52.55,57.26,3538.4
S17 3817,ODP1209,A,6,H,5,45,47,52.65,57.36,3543.7
S17 3818,ODP1209,A,6,H,5,55,57,52.75,57.46,3548.9
S17 3819,ODP1209,A,6,H,5,65,67,52.85,57.56,3554.2
S17 3820,ODP1209,A,6,H,5,75,77,52.95,57.66,3559.7
S17 0031,ODP1209,A,6,H,5,85,87,53.05,57.76,3565.3
S17 0032,ODP1209,A,6,H,5,95,97,53.15,57.86,3570.9
S17 0033,ODP1209,A,6,H,5,107,109,53.27,57.98,3577.8
S17 0034,ODP1209,A,6,H,5,115,117,53.35,58.06,3581.8
S17 0035,ODP1209,A,6,H,5,125,127,53.45,58.16,3587.3
S17 0036,ODP1209,A,6,H,5,137,139,53.57,58.28,3595.6
S17 0037,ODP1209,A,6,H,5,145,147,53.65,58.36,3600.0
,,,,,,,,,,
